func_group,chain,smiles,head_smiles,tail_smiles,carbon_len,ethoxy_len,aromatic_rings,counter_ion,CMC,MW,NVE,logP,chi0,bertzct,chi1,peoe_vsa6,labute_asa,molmr,wiener_index,zagreb_index1,zagreb_index2,walk_count,total_ic
NMe3Br,C16,CCCCCCCCCCCCCCCC[N+](C)(C)C,C[N+](C)(C)C,CCCCCCCCCCCCCCC,16,0,0,Br-,1.0,284.33117676409,122,6.173900000000007,15.106601717798217,180.69549589470012,9.560660171779821,83.97359667480276,129.27801424376722,93.21140000000008,1281,80.0,78.0,19.0,61.97221673185021
NMe3Br,C18,CCCCCCCCCCCCCCCCCC[N+](C)(C)C,C[N+](C)(C)C,CCCCCCCCCCCCCCCCC,18,0,0,Br-,0.29,312.36247689209,134,6.9541000000000075,16.520815280171313,204.44290470596226,10.560660171779821,96.81523992065479,142.00789847256047,102.44540000000009,1716,88.0,86.0,21.0,67.62495734804652
OSO3Na,C7,CCCCCCCOS(=O)(=O)[O-],COS(=O)(=O)[O-],CCCCCC,7,0,0,Na+,240.0,195.06965353991,74,1.4336,9.449747468305834,185.58305677429175,5.560660171779821,32.60702369139466,73.88008882981471,44.40820000000002,261,48.0,46.0,11.0,42.12711916988265
OSO3Na,C8,CCCCCCCCOS(=O)(=O)[O-],COS(=O)(=O)[O-],CCCCCCC,8,0,0,Na+,130.0,209.08530360391,80,1.8237,10.156854249492381,198.18956631445678,6.060660171779822,39.02784531432067,80.24503094421132,49.02520000000004,336,52.0,50.0,12.0,45.71984956699979
OSO3Na,C9,CCCCCCCCCOS(=O)(=O)[O-],COS(=O)(=O)[O-],CCCCCCCC,9,0,0,Na+,65.0,223.10095366791,86,2.2138,10.86396103067893,210.85184393044116,6.560660171779822,45.448666937246685,86.60997305860793,53.642200000000045,424,56.0,54.0,13.0,49.22505817042002
OSO3Na,C10,CCCCCCCCCCOS(=O)(=O)[O-],COS(=O)(=O)[O-],CCCCCCCCC,10,0,0,Na+,33.0,237.11660373191,92,2.603900000000001,11.571067811865477,223.57688747399038,7.060660171779822,51.8694885601727,92.97491517300455,58.25920000000005,526,60.0,58.0,14.0,52.65935322469565
OSO3Na,C11,CCCCCCCCCCCOS(=O)(=O)[O-],COS(=O)(=O)[O-],CCCCCCCCCC,11,0,0,Na+,16.0,251.13225379591,98,2.9940000000000015,12.278174593052025,236.36911753832655,7.560660171779822,58.29031018309871,99.33985728740116,62.876200000000054,643,64.0,62.0,15.0,56.03501374130612
OSO3Na,C12,CCCCCCCCCCCCOS(=O)(=O)[O-],COS(=O)(=O)[O-],CCCCCCCCCCC,12,0,0,Na+,8.0,265.14790385991,104,3.384100000000002,12.985281374238573,249.23124340942923,8.060660171779823,64.71113180602472,105.70479940179777,67.49320000000006,776,68.0,66.0,16.0,59.361377003685945
OSO3Na,C13,CCCCCCCCCCCCCOS(=O)(=O)[O-],COS(=O)(=O)[O-],CCCCCCCCCCCC,13,0,0,Na+,4.0,279.16355392391,110,3.774200000000002,13.692388155425121,262.1648093253533,8.560660171779823,71.13195342895074,112.06974151619438,72.11020000000006,926,72.0,70.0,17.0,62.645710440587514
OSO3Na,C14,CCCCCCCCCCCCCCOS(=O)(=O)[O-],COS(=O)(=O)[O-],CCCCCCCCCCCCC,14,0,0,Na+,2.2,293.17920398791,116,4.164300000000003,14.399494936611669,275.17055156402085,9.060660171779823,77.55277505187675,118.43468363059098,76.72720000000007,1094,76.0,74.0,18.0,65.89378226710944
OSO3Na,C15,CCCCCCCCCCCCCCCOS(=O)(=O)[O-],COS(=O)(=O)[O-],CCCCCCCCCCCCCC,15,0,0,Na+,1.2,307.19485405191,122,4.554400000000004,15.106601717798217,288.2486387001305,9.560660171779821,83.97359667480276,124.7996257449876,81.34420000000007,1281,80.0,78.0,19.0,69.11024788442536
OSO3Na,C16,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-],COS(=O)(=O)[O-],CCCCCCCCCCCCCCC,16,0,0,Na+,0.58,321.21050411591,128,4.944500000000004,15.813708498984765,301.39883712234024,10.060660171779821,90.39441829772878,131.16456785938422,85.96120000000008,1488,84.0,82.0,20.0,72.29891917799834
OSO3Na,C17,CCCCCCCCCCCCCCCCCOS(=O)(=O)[O-],COS(=O)(=O)[O-],CCCCCCCCCCCCCCCC,17,0,0,Na+,0.3,335.22615417990994,134,5.334600000000005,16.520815280171313,314.62062730876477,10.560660171779821,96.81523992065479,137.52950997378088,90.57820000000008,1716,88.0,86.0,21.0,75.46295691306068
OSO3Na,C18,CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-],COS(=O)(=O)[O-],CCCCCCCCCCCCCCCCC,18,0,0,Na+,0.23,349.24180424390994,140,5.724700000000006,17.22792206135786,327.9132868410076,11.060660171779821,103.2360615435808,143.89445208817747,95.19520000000009,1966,92.0,90.0,22.0,78.60501118227835
SO3Na,C8,CCCCCCCCS(=O)(=O)[O-],CS(=O)(=O)[O-],CCCCCCC,8,0,0,Na+,155.0,193.09038898391,74,1.8921000000000003,9.449747468305834,184.4796537265315,5.560660171779821,39.02784531432067,74.92248183864643,47.94020000000003,261,48.0,46.0,11.0,42.639693055280354
SO3Na,C10,CCCCCCCCCCS(=O)(=O)[O-],CS(=O)(=O)[O-],CCCCCCCCC,10,0,0,Na+,41.0,221.12168911191,86,2.672300000000001,10.86396103067893,209.4070004923849,6.560660171779822,51.8694885601727,87.65236606743963,57.17420000000005,424,56.0,54.0,13.0,49.312071263682775
SO3Na,C12,CCCCCCCCCCCCS(=O)(=O)[O-],CS(=O)(=O)[O-],CCCCCCCCCCC,12,0,0,Na+,11.0,249.15298923991,98,3.4525000000000023,12.278174593052025,234.64842783251947,7.560660171779822,64.71113180602472,100.38225029623285,66.40820000000005,643,64.0,62.0,15.0,55.78878993415597
SO3Na,C13,CCCCCCCCCCCCCS(=O)(=O)[O-],CS(=O)(=O)[O-],CCCCCCCCCCCC,13,0,0,Na+,3.5,263.16863930391,104,3.8426000000000027,12.985281374238573,247.39018958008543,8.060660171779823,71.13195342895074,106.74719241062947,71.02520000000005,776,68.0,66.0,16.0,58.972424823629765
SO3Na,C14,CCCCCCCCCCCCCCS(=O)(=O)[O-],CS(=O)(=O)[O-],CCCCCCCCCCCCC,14,0,0,Na+,2.0,277.18428936791,110,4.232700000000003,13.692388155425121,260.2126692502176,8.560660171779823,77.55277505187675,113.11213452502608,75.64220000000006,926,72.0,70.0,17.0,62.12637075917944
